"movie.id.1","movie.id.2","V1"
1,2,104
1,3,78
1,4,149
1,5,57
1,7,281
1,8,154
1,9,201
1,10,61
1,11,160
1,12,168
1,13,135
1,14,111
1,15,221
1,17,63
1,19,39
1,20,49
1,21,72
1,22,195
1,23,103
1,24,141
1,25,223
1,26,44
1,27,38
1,28,207
1,29,85
1,31,116
1,32,59
1,33,66
1,38,89
1,39,59
1,40,44
1,42,101
1,44,59
1,45,49
1,47,92
1,48,77
1,49,67
1,50,381
1,51,61
1,52,59
1,53,82
1,54,78
1,55,100
1,56,243
1,58,121
1,59,43
1,60,33
1,61,32
1,62,96
1,63,72
1,64,192
1,65,85
1,66,117
1,67,80
1,68,98
1,69,226
1,70,170
1,71,173
1,72,100
1,73,105
1,76,35
1,77,104
1,79,230
1,80,54
1,81,87
1,82,188
1,83,121
1,85,46
1,86,93
1,87,107
1,88,150
1,89,190
1,90,73
1,91,118
1,92,65
1,93,80
1,94,103
1,95,183
1,96,207
1,97,179
1,98,244
1,99,134
1,100,325
1,101,67
1,102,45
1,105,64
1,106,57
1,108,48
1,109,106
1,111,203
1,114,48
1,116,71
1,117,289
1,118,231
1,120,54
1,121,314
1,122,86
1,123,99
1,124,122
1,125,197
1,126,71
1,127,251
1,128,50
1,129,92
1,131,63
1,132,172
1,133,121
1,134,117
1,135,172
1,136,67
1,137,105
1,140,52
1,141,55
1,142,46
1,143,163
1,144,181
1,145,52
1,147,143
1,148,101
1,150,113
1,151,260
1,152,57
1,153,175
1,154,126
1,155,73
1,156,106
1,157,92
1,158,51
1,159,78
1,160,51
1,161,161
1,162,69
1,163,62
1,164,110
1,165,32
1,166,28
1,167,53
1,168,217
1,169,90
1,170,71
1,171,37
1,172,245
1,173,218
1,174,273
1,175,138
1,176,189
1,177,84
1,178,81
1,179,144
1,180,135
1,181,340
1,182,144
1,183,196
1,184,78
1,185,142
1,186,166
1,187,120
1,188,124
1,189,53
1,190,86
1,191,181
1,192,65
1,193,105
1,194,155
1,195,209
1,196,182
1,197,146
1,198,86
1,199,101
1,200,138
1,201,58
1,202,195
1,203,124
1,204,238
1,205,83
1,207,39
1,208,142
1,209,132
1,210,223
1,211,134
1,212,53
1,213,69
1,214,84
1,215,143
1,216,191
1,217,88
1,218,119
1,219,76
1,220,49
1,221,47
1,222,267
1,223,95
1,225,94
1,226,117
1,227,123
1,228,182
1,229,128
1,230,145
1,231,106
1,232,77
1,233,93
1,234,184
1,235,182
1,237,270
1,238,170
1,239,115
1,240,121
1,241,85
1,242,48
1,243,75
1,245,114
1,246,84
1,248,123
1,249,100
1,250,145
1,252,128
1,254,44
1,255,117
1,257,224
1,258,254
1,259,76
1,260,74
1,262,28
1,264,46
1,265,164
1,268,125
1,269,127
1,270,58
1,271,109
1,272,76
1,273,154
1,274,146
1,275,170
1,276,199
1,277,56
1,278,52
1,280,70
1,281,107
1,282,176
1,283,124
1,284,156
1,285,91
1,286,202
1,287,50
1,288,221
1,289,115
1,290,75
1,291,94
1,292,44
1,293,100
1,294,253
1,295,58
1,298,133
1,299,27
1,300,193
1,301,100
1,302,118
1,303,43
1,304,71
1,305,29
1,306,35
1,307,67
1,310,54
1,311,25
1,312,30
1,313,157
1,315,68
1,316,46
1,317,67
1,318,192
1,319,66
1,321,70
1,322,94
1,323,125
1,324,47
1,325,58
1,326,62
1,327,62
1,328,131
1,331,41
1,332,50
1,333,108
1,334,26
1,338,44
1,340,69
1,342,20
1,343,58
1,344,13
1,345,20
1,346,47
1,347,49
1,354,33
1,356,70
1,357,166
1,358,73
1,367,125
1,369,48
1,371,50
1,378,74
1,380,89
1,381,61
1,382,67
1,384,51
1,385,147
1,386,67
1,387,42
1,391,44
1,392,52
1,393,147
1,395,50
1,396,40
1,399,70
1,401,53
1,402,131
1,403,148
1,404,84
1,405,267
1,408,95
1,409,61
1,410,129
1,411,131
1,412,74
1,413,41
1,414,41
1,416,48
1,417,58
1,418,105
1,419,134
1,420,65
1,421,66
1,423,206
1,425,60
1,427,131
1,428,79
1,429,65
1,430,55
1,431,111
1,432,134
1,433,119
1,434,49
1,435,133
1,436,67
1,441,32
1,443,103
1,447,84
1,448,56
1,449,83
1,450,45
1,451,120
1,452,48
1,455,117
1,458,69
1,461,51
1,462,89
1,463,45
1,465,70
1,466,38
1,468,48
1,469,49
1,470,84
1,471,175
1,472,133
1,473,111
1,474,125
1,475,164
1,476,120
1,477,89
1,478,64
1,479,109
1,480,114
1,481,40
1,482,73
1,483,152
1,484,88
1,485,81
1,486,43
1,487,42
1,488,36
1,489,31
1,491,47
1,492,31
1,493,38
1,494,35
1,495,40
1,496,155
1,497,43
1,498,101
1,499,32
1,501,104
1,502,41
1,504,71
1,505,43
1,506,58
1,507,56
1,508,143
1,509,76
1,510,70
1,511,106
1,512,28
1,513,34
1,514,102
1,515,118
1,516,40
1,517,46
1,518,53
1,519,41
1,520,77
1,521,74
1,523,98
1,525,43
1,526,80
1,527,132
1,528,67
1,529,52
1,530,47
1,531,79
1,535,42
1,538,29
1,542,43
1,544,47
1,546,193
1,549,68
1,550,113
1,553,40
1,554,71
1,558,41
1,559,102
1,561,43
1,566,120
1,568,168
1,569,46
1,576,66
1,578,65
1,581,39
1,582,107
1,584,55
1,588,166
1,591,128
1,595,48
1,596,105
1,597,165
1,603,124
1,604,43
1,606,32
1,607,35
1,609,43
1,614,31
1,615,34
1,616,42
1,619,56
1,625,71
1,627,63
1,628,121
1,629,56
1,631,85
1,632,35
1,633,50
1,636,72
1,640,49
1,642,58
1,647,42
1,648,40
1,650,43
1,651,109
1,652,62
1,654,84
1,655,158
1,657,68
1,658,58
1,659,66
1,660,99
1,661,42
1,662,57
1,663,72
1,665,70
1,672,38
1,673,53
1,675,34
1,676,52
1,678,115
1,679,82
1,682,39
1,684,114
1,685,119
1,687,38
1,689,34
1,690,52
1,692,115
1,693,65
1,696,54
1,699,67
1,702,37
1,705,85
1,707,39
1,708,69
1,709,72
1,710,61
1,712,32
1,713,57
1,715,62
1,716,36
1,717,59
1,720,63
1,721,41
1,722,46
1,724,57
1,727,41
1,729,59
1,732,131
1,735,100
1,736,49
1,737,42
1,739,120
1,740,42
1,741,43
1,742,207
1,744,59
1,746,95
1,747,78
1,748,164
1,749,23
1,750,43
1,751,89
1,754,22
1,755,81
1,756,103
1,762,85
1,763,123
1,768,48
1,770,43
1,778,54
1,780,50
1,781,62
1,790,51
1,792,55
1,813,40
1,815,89
1,820,83
1,823,64
1,825,65
1,826,66
1,827,44
1,831,68
1,840,37
1,845,142
1,847,38
1,849,39
1,855,30
1,864,67
1,866,94
1,871,54
1,873,34
1,875,23
1,877,23
1,879,56
1,880,19
1,886,22
1,887,17
1,892,27
1,895,46
1,898,21
1,919,73
1,923,27
1,924,68
1,926,86
1,928,82
1,930,62
1,931,47
1,934,55
1,939,44
1,946,56
1,949,50
1,959,50
1,969,58
1,988,47
1,993,58
1,1009,43
1,1011,72
1,1012,83
1,1014,76
1,1016,105
1,1028,116
1,1035,59
1,1039,67
1,1041,44
1,1047,113
1,1048,60
1,1065,32
1,1073,40
1,1074,55
1,1101,54
1,1119,42
2,1,104
2,3,34
2,4,90
2,5,37
2,7,94
2,8,62
2,9,55
2,10,22
2,11,88
2,12,88
2,13,39
2,14,24
2,15,53
2,17,51
2,19,5
2,20,11
2,21,32
2,22,98
2,23,49
2,24,68
2,25,67
2,26,23
2,27,38
2,28,95
2,29,75
2,31,70
2,32,23
2,33,59
2,38,72
2,39,42
2,40,29
2,42,56
2,44,34
2,45,21
2,47,52
2,48,42
2,49,45
2,50,123
2,51,37
2,52,31
2,53,64
2,54,60
2,55,67
2,56,115
2,58,62
